Godot Engine v4.2.2.stable.mono.official.15073afe3 - https://godotengine.org
Vulkan API 1.4.308 - Forward+ - Using Vulkan Device #0: AMD - AMD Radeon RX 7900 XT
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
 
Chunk generated with 888 vertices, 1332 indices, and 1 collision shape
Chunk generated with 924 vertices, 1386 indices, and 1 collision shape
Chunk generated with 928 vertices, 1392 indices, and 1 collision shape
Chunk generated with 692 vertices, 1038 indices, and 1 collision shape
Chunk generated with 968 vertices, 1452 indices, and 1 collision shape
Chunk generated with 896 vertices, 1344 indices, and 1 collision shape
Chunk generated with 860 vertices, 1290 indices, and 1 collision shape
Chunk generated with 852 vertices, 1278 indices, and 1 collision shape
Chunk generated with 904 vertices, 1356 indices, and 1 collision shape
Chunk generated with 1064 vertices, 1596 indices, and 1 collision shape
Chunk generated with 840 vertices, 1260 indices, and 1 collision shape
Chunk generated with 808 vertices, 1212 indices, and 1 collision shape
Chunk generated with 764 vertices, 1146 indices, and 1 collision shape
Chunk generated with 592 vertices, 888 indices, and 1 collision shape
Chunk generated with 912 vertices, 1368 indices, and 1 collision shape
Chunk generated with 680 vertices, 1020 indices, and 1 collision shape
Chunk generated with 568 vertices, 852 indices, and 1 collision shape
Chunk generated with 820 vertices, 1230 indices, and 1 collision shape
Chunk generated with 780 vertices, 1170 indices, and 1 collision shape
Chunk generated with 796 vertices, 1194 indices, and 1 collision shape
Chunk generated with 1080 vertices, 1620 indices, and 1 collision shape
Chunk generated with 804 vertices, 1206 indices, and 1 collision shape
Chunk generated with 904 vertices, 1356 indices, and 1 collision shape
Chunk generated with 692 vertices, 1038 indices, and 1 collision shape
Chunk generated with 1092 vertices, 1638 indices, and 1 collision shape
Chunk generated with 1076 vertices, 1614 indices, and 1 collision shape
Chunk generated with 964 vertices, 1446 indices, and 1 collision shape
Chunk generated with 944 vertices, 1416 indices, and 1 collision shape
Chunk generated with 936 vertices, 1404 indices, and 1 collision shape
Chunk generated with 1040 vertices, 1560 indices, and 1 collision shape
Chunk generated with 940 vertices, 1410 indices, and 1 collision shape
Chunk generated with 804 vertices, 1206 indices, and 1 collision shape
Chunk generated with 920 vertices, 1380 indices, and 1 collision shape
Chunk generated with 680 vertices, 1020 indices, and 1 collision shape
Chunk generated with 984 vertices, 1476 indices, and 1 collision shape
Chunk generated with 992 vertices, 1488 indices, and 1 collision shape
Chunk generated with 788 vertices, 1182 indices, and 1 collision shape
Chunk generated with 948 vertices, 1422 indices, and 1 collision shape
Chunk generated with 756 vertices, 1134 indices, and 1 collision shape
Chunk generated with 836 vertices, 1254 indices, and 1 collision shape
Chunk generated with 712 vertices, 1068 indices, and 1 collision shape
Chunk generated with 804 vertices, 1206 indices, and 1 collision shape
Chunk generated with 916 vertices, 1374 indices, and 1 collision shape
Chunk generated with 940 vertices, 1410 indices, and 1 collision shape
Chunk generated with 928 vertices, 1392 indices, and 1 collision shape
Chunk generated with 808 vertices, 1212 indices, and 1 collision shape
Chunk generated with 856 vertices, 1284 indices, and 1 collision shape
Chunk generated with 684 vertices, 1026 indices, and 1 collision shape
Chunk generated with 744 vertices, 1116 indices, and 1 collision shape
Chunk generated with 904 vertices, 1356 indices, and 1 collision shape
Chunk generated with 972 vertices, 1458 indices, and 1 collision shape
Chunk generated with 1080 vertices, 1620 indices, and 1 collision shape
Chunk generated with 836 vertices, 1254 indices, and 1 collision shape
Chunk generated with 944 vertices, 1416 indices, and 1 collision shape
Chunk generated with 920 vertices, 1380 indices, and 1 collision shape
Chunk generated with 948 vertices, 1422 indices, and 1 collision shape
Chunk generated with 640 vertices, 960 indices, and 1 collision shape
Chunk generated with 780 vertices, 1170 indices, and 1 collision shape
Chunk generated with 776 vertices, 1164 indices, and 1 collision shape
Chunk generated with 812 vertices, 1218 indices, and 1 collision shape
Chunk generated with 820 vertices, 1230 indices, and 1 collision shape
Chunk generated with 948 vertices, 1422 indices, and 1 collision shape
Chunk generated with 1100 vertices, 1650 indices, and 1 collision shape
Chunk generated with 936 vertices, 1404 indices, and 1 collision shape
Chunk generated with 1180 vertices, 1770 indices, and 1 collision shape
Chunk generated with 676 vertices, 1014 indices, and 1 collision shape
